Parent MNE	02/12/2018	09/12/2018	16/12/2018	23/12/2018	30/12/2018	06/01/2019	13/01/2019	20/01/2019	27/01/2019	03/02/2019	10/02/2019	17/02/2019	24/02/2019	03/03/2019	10/03/2019	17/03/2019	24/03/2019	31/03/2019	07/04/2019	14/04/2019	21/04/2019	28/04/2019	05/05/2019	12/05/2019	19/05/2019	26/05/2019	02/06/2019	09/06/2019	16/06/2019	23/06/2019	30/06/2019	07/07/2019	14/07/2019	21/07/2019	28/07/2019	04/08/2019	11/08/2019	18/08/2019	25/08/2019	01/09/2019	08/09/2019	15/09/2019	22/09/2019	29/09/2019	06/10/2019	13/10/2019	20/10/2019	27/10/2019	03/11/2019	10/11/2019	17/11/2019	24/11/2019	01/12/2019	08/12/2019	15/12/2019	22/12/2019	29/12/2019	05/01/2020	12/01/2020	19/01/2020	26/01/2020	02/02/2020	09/02/2020	16/02/2020	23/02/2020	01/03/2020	08/03/2020	15/03/2020	22/03/2020	29/03/2020	05/04/2020	12/04/2020	19/04/2020	26/04/2020	03/05/2020
AIA Group Ltd	97,53958587	97,53958587	105,1400731	126,6747868	108,9403167	110,2070646	110,2070646	108,9403167	102,6065773	86,13885505	110,2070646	106,406821	106,406821	105,1400731	105,1400731	102,6065773	107,6735688	106,406821	101,3398295	89,93909866	96,272838	98,80633374	103,8733252	93,73934227	95,00609013	116,5408039	81,07186358	88,67235079	97,53958587	105,1400731	97,53958587	97,53958587	101,3398295	102,6065773	95,00609013	93,73934227	101,3398295	97,53958587	102,6065773	92,4725944	92,4725944	97,53958587	98,80633374	98,80633374	97,53958587	93,73934227	96,272838	97,53958587	96,272838	91,20584653	93,73934227	98,80633374	101,3398295	100,0730816	110,2070646	115,274056	102,6065773	112,7405603	97,53958587	89,93909866	83,60535932	103,8733252	110,2070646	112,7405603	112,7405603	120,3410475	112,7405603	115,274056	95,00609013	87,40560292	79,80511571	81,07186358	77,27161998	76,00487211	86,13885505
AP Moeller - Maersk A/S	93,94782807	92,82292673	98,85340989	77,8971733	84,31475928	101,2396665	97,39805482	89,81878459	97,03339876	97,13489469	97,58854379	103,9622132	101,6784192	99,48703736	105,9244666	100,8562724	105,4533971	111,289389	102,4350696	93,17282696	99,51052688	93,45957398	103,4467018	104,7588857	100,3984182	104,5812015	92,24472246	99,49131443	108,3565804	102,6423426	108,5755747	101,210516	100,950977	99,2519202	101,0676294	97,81094518	94,62383592	106,3896768	105,0041374	96,1389074	103,4532694	104,1228715	102,7495303	104,0302373	101,6316539	95,20089199	101,2463595	89,79992925	99,47873114	103,2957298	102,8330923	103,0050411	97,19728061	108,2631467	98,70691081	80,58015104	80,01835091	103,2867999	96,67142689	107,307377	98,8474159	102,5308305	111,8322581	113,99058	107,5532738	110,7479713	102,5994532	96,06038517	85,42263025	83,56742845	80,01647333	84,81430526	86,90536736	80,31177133	87,14908609
ASML Holding NV	147,6180274	101,698767	105,8695462	62,95033969	78,14970524	103,1231682	104,2670949	157,9693497	129,7234961	112,7867034	105,6240082	95,37511034	83,21887304	89,48317967	96,68894929	90,43278048	88,69535335	111,8964527	151,2465184	145,6944123	89,06772932	88,16934073	112,8460535	91,27181902	99,74021536	83,32943531	82,80342268	99,31662718	94,01005918	75,17406488	98,90117682	75,64886529	127,5787565	96,69708712	74,75861453	85,49045062	96,33284899	89,53439189	86,32135133	87,63519027	88,52544103	96,10358661	95,62064838	93,41655867	97,40928773	127,8836445	103,6735944	109,0395124	125,9681673	103,258144	106,7679348	84,41401188	91,56043144	115,6436437	102,7752058	82,86277273	74,22446407	141,5236331	130,1982965	176,2793314	129,4860959	135,8097526	131,6308356	123,7047275	131,0291972	140,5146823	182,0094876	168,6581114	157,8669253	120,9664873	124,6543283	137,1154537	106,3524845	110,2858635	126,4511055
AT&T Inc	98,19731885	97,07405069	99,58395751	106,5503383	102,9103137	102,1178547	112,4623042	93,19289299	102,5245877	94,72403203	97,99183641	94,02768382	99,64046829	111,8878115	101,4830693	102,3496206	102,2007633	103,5112172	112,4871491	142,8503513	119,5427701	127,6357227	115,3110458	116,3304986	114,5894105	99,11548146	108,1557624	99,44198062	95,25750065	97,74022863	100,5418038	107,2893762	101,8435153	100,3369471	99,31983492	96,44619186	99,53536738	91,61704088	91,11230204	89,65138506	83,15219619	87,43124537	86,89260809	93,35871776	100,0304494	95,55839396	97,88783168	98,18201396	95,92826808	98,54589228	93,46814367	80,74328953	87,59843667	85,03685278	82,37900709	92,72561061	96,8152342	94,98626154	96,04036969	91,50570874	91,90308438	89,26751784	82,28898459	84,5642125	88,33725841	81,383669	92,40769172	110,2304608	116,0881199	114,3644103	122,2502986	124,3490211	116,5025328	110,8310511	110,1810152
AXA SA	112,1054346	98,01850855	105,4387554	62,80298229	89,08919348	112,8984925	104,4512467	123,6139695	124,4046689	106,3720455	125,0887184	108,1540263	120,4014813	99,95825705	86,36488698	109,1118742	99,94347588	105,5365949	107,9829504	83,06398617	96,60715315	99,3801058	108,464341	87,29279493	109,0336708	93,50252818	94,875936	99,32710738	104,9040915	105,4613908	103,468159	94,88244591	97,19026106	103,0532241	96,65232563	83,99515333	106,4084299	82,98381269	98,03092674	109,5053869	92,84149737	112,0777089	114,8754263	104,6756267	105,8774632	81,73286311	98,17266226	86,53900383	98,38187632	93,00056554	106,4417197	91,18212761	84,53794364	100,4580537	103,99432	57,52933586	75,31588633	96,33911377	110,6797234	97,50423851	114,213077	107,0464997	93,59838845	114,7957512	100,2661174	85,02438239	88,70110764	64,62409913	50,41861961	53,52676072	50,78124579	58,41448792	76,8197497	63,12614449	92,97135795
Abb Ltd	112,0631642	112,7570359	96,94260354	73,92762958	110,9152466	120,0783922	118,0443815	107,8285273	111,3692925	109,5751076	101,4646708	103,6176926	90,62635149	116,6566381	127,8775966	113,0682684	116,9916728	106,3693772	97,94770776	97,63647525	91,65525794	90,26751452	110,3879905	97,99531222	83,9750647	88,87977111	91,67906017	90,98518846	101,9425189	78,30507989	75,79322111	90,36272344	97,01401023	77,5398015	87,85086466	83,92746024	101,2010427	94,0719078	81,84584512	95,43584898	101,6312864	103,6890993	99,09562535	99,71809037	101,4170663	91,99029267	103,6176926	106,8234231	113,1634773	103,5700881	105,6755055	103,8099139	121,4899378	103,2826578	106,6806097	87,30160986	96,77598793	103,5938903	115,197488	111,7043272	106,7758186	103,8575184	108,522399	104,7894124	116,2501967	96,34394076	101,2010427	86,15188874	93,61605839	111,6787215	102,4679714	101,8455064	97,7554864	103,7843082	99,45446232
AbbVie Inc	86,61688685	80,64330844	77,65651924	59,73578403	68,69615164	86,61688685	92,59046525	89,60367605	113,4979897	98,56404365	86,61688685	83,63009765	86,61688685	86,61688685	92,59046525	86,61688685	92,59046525	86,61688685	86,61688685	80,64330844	98,56404365	80,64330844	86,61688685	86,61688685	77,65651924	65,70936244	86,61688685	71,68294084	77,65651924	298,6789202	113,4979897	119,4715681	107,5244113	116,4847789	113,4979897	89,60367605	113,4979897	113,4979897	98,56404365	92,59046525	110,5112005	107,5244113	104,5376221	107,5244113	98,56404365	107,5244113	113,4979897	113,4979897	119,4715681	128,4319357	110,5112005	86,61688685	98,56404365	98,56404365	101,5508329	71,68294084	62,72257323	98,56404365	104,5376221	104,5376221	137,3923033	170,2469845	158,2998277	116,4847789	137,3923033	131,4187249	161,2866169	155,3130385	149,3394601	140,3790925	119,4715681	134,4055141	122,4583573	125,4451465	158,2998277
Abbott Laboratories	93,52517986	98,20143885	93,52517986	70,14388489	79,49640288	102,8776978	98,20143885	107,5539568	98,20143885	98,20143885	102,8776978	98,20143885	107,5539568	102,8776978	102,8776978	107,5539568	98,20143885	102,8776978	98,20143885	98,20143885	98,20143885	98,20143885	98,20143885	102,8776978	98,20143885	93,52517986	102,8776978	98,20143885	107,5539568	112,2302158	102,8776978	102,8776978	102,8776978	93,52517986	102,8776978	93,52517986	102,8776978	102,8776978	102,8776978	98,20143885	102,8776978	107,5539568	98,20143885	112,2302158	107,5539568	107,5539568	98,20143885	98,20143885	98,20143885	102,8776978	98,20143885	84,17266187	98,20143885	93,52517986	98,20143885	74,82014388	79,49640288	102,8776978	102,8776978	102,8776978	102,8776978	107,5539568	107,5539568	102,8776978	102,8776978	102,8776978	102,8776978	130,9352518	224,4604317	467,6258993	201,0791367	252,5179856	196,4028777	191,7266187	163,6690647
Accenture PLC	94,9818115	93,58319962	88,21157155	67,26506274	74,78173599	101,805488	98,63958944	89,13445063	121,1989529	96,76278874	99,01829661	98,15679377	98,28284111	101,8479468	93,96083137	92,4540893	103,268134	99,96653921	99,54114993	86,50440402	92,40494795	95,46921402	91,99381439	97,07897241	95,25346067	91,33785088	103,2352692	104,2865281	99,62417335	105,2639192	98,48692475	116,5427156	104,0118545	102,2380701	101,4867183	96,93457276	97,71197676	105,0752934	107,9474023	104,6606284	116,7647164	110,4454109	120,3225024	106,1867982	102,9769303	105,6828075	98,83742889	92,28432613	108,4994041	107,0806007	106,5763564	102,9169379	98,7512543	95,06212216	95,09795322	69,62573453	71,30211302	101,9011298	101,6940799	104,3379438	101,6241819	105,2289068	98,05093794	100,5374036	109,3665141	105,1784365	101,1306619	81,63146793	70,08752003	68,73477158	66,99341358	68,34099001	69,69184437	67,15257921	71,29737941
Activision Blizzard Inc	94,78479696	93,07517876	90,76086634	94,96787352	99,92449178	137,0517262	108,964545	76,28134316	71,31007254	87,33318017	151,5080795	87,15846363	71,31320879	68,35938717	73,75541186	68,12355329	66,57265175	67,92112268	68,76345389	64,29561594	66,23532905	68,13752134	61,42063968	72,49687486	81,87955656	83,10364954	88,84965967	70,43576814	70,59887582	70,04503615	66,34750127	67,23294404	63,44959194	75,0845568	67,4914309	77,76561299	74,14944893	79,882175	108,8552267	88,93019603	113,4940213	159,5512502	110,9835975	79,81324881	293,9924168	127,4267378	188,6393995	250,0363578	185,4655275	139,5186795	109,6747018	114,3126224	131,5390941	105,0260027	96,23231985	116,1942093	106,9964022	94,99614081	96,60162604	101,6685594	108,1945276	117,8883944	106,9196869	96,3504313	99,29257133	86,49573651	217,1590863	228,1861541	204,9125846	195,868501	204,9198062	194,1369179	175,1760735	203,9974132	190,6253348
