Parent MNE	WikiID		WikiTopic		MID		Weight
AIA Group Ltd	Q1152465	>>	AIA_Group	>>	/m/02r5cgx	>>	100
AP Moeller - Maersk A/S	Q18224	>>	Maersk	>>	/m/035r8l	>>	70,97164158
AP Moeller - Maersk A/S	Q446750	>>	Maersk_Line	>>	/m/0gbh_b_	>>	19,5562223
AP Moeller - Maersk A/S	Q4653345	>>	APM_Terminals	>>	/m/03h4cqf	>>	4,159098077
AP Moeller - Maersk A/S	Q1440470	>>	Safmarine	>>	/m/06cc_g	>>	2,047606837
AP Moeller - Maersk A/S	Q7230862	>>	Port_Pipavav	>>	/m/05zzr_l	>>	1,882758269
AP Moeller - Maersk A/S	Q6729269	>>	Maersk_Drilling	>>	/m/0nb82r3	>>	1,148400343
AP Moeller - Maersk A/S	Q10686364	>>	Svitzer	>>	/g/11dyjy3d7	>>	0,234272598
ASML Holding NV	Q297879	>>	ASML_Holding	>>	/m/0dhkzm	>>	97,27446306
ASML Holding NV	Q674796	>>	Cymer	>>	/m/03p1y2b	>>	2,725536939
AT&T Inc	Q157906	>>	Boomerang_(TV_network)	>>	/m/034zp7	>>	29,03925988
AT&T Inc	Q2924461	>>	DC_Comics	>>	/m/02hvd	>>	18,78527551
AT&T Inc	Q126399	>>	Warner_Bros.	>>	/m/086k8	>>	12,56675577
AT&T Inc	Q23633	>>	HBO	>>	/m/03mdt	>>	11,46684854
AT&T Inc	Q48340	>>	CNN	>>	/m/0gsgr	>>	7,90385672
AT&T Inc	Q191715	>>	WarnerMedia	>>	/m/0l8sx	>>	5,900101015
AT&T Inc	Q1056839	>>	DirecTV	>>	/m/02mdsj	>>	2,582659334
AT&T Inc	Q7855903	>>	Turner_Broadcasting_System	>>	/m/021c6_	>>	2,247621212
AT&T Inc	Q249892	>>	Cinemax	>>	/m/018fx7	>>	1,296743161
AT&T Inc	Q16556580	>>	HBO_Go	>>	/m/0123nv3y	>>	1,191760463
AT&T Inc	Q2307159	>>	Rocksteady_Studios	>>	/m/04g1jgw	>>	1,104517036
