Parent MNE	Headquarters of Parent MNE	Number of Affiliates	Number of Domains	Number of Jurisdictions declared in Annual Reporting	Number of Jurisdictions with a Physical Presence	Number of Jurisdictions with Presence	International Share	C3	C5	HHI	AD	AE	AF	AG	AI	AL	AM	AN	AO	AR	AS	AT	AU	AW	AZ	BA	BB	BD	BE	BF	BG	BH	BI	BJ	BM	BN	BO	BR	BS	BT	BV	BW	BY	BZ	CA	CC	CD	CF	CG	CH	CI	CK	CL	CM	CN	CO	CR	CU	CV	CW	CX	CY	CZ	DE	DJ	DK	DM	DO	DZ	EC	EE	EG	EH	ER	ES	ET	FI	FJ	FK	FM	FO	FR	GA	GB	GD	GE	GF	GG	GH	GI	GL	GM	GN	GP	GQ	GR	GS	GT	GU	GW	GY	HK	HN	HR	HT	HU	ID	IE	IL	IM	IN	IQ	IR	IS	IT	JE	JM	JO	JP	KE	KG	KH	KI	KM	KN	KR	KW	KY	KZ	LA	LB	LC	LI	LK	LR	LS	LT	LU	LV	LY	MA	MC	MD	ME	MF	MG	MH	MK	ML	MM	MN	MO	MP	MQ	MR	MS	MT	MU	MV	MW	MX	MY	MZ	NC	NE	NF	NG	NI	NL	NO	NP	NR	NU	NZ	OM	PA	PE	PF	PG	PH	PK	PL	PM	PN	PR	PS	PT	PY	QA	RE	RO	RS	RU	RW	SA	SB	SC	SD	SE	SG	SH	SI	SK	SL	SM	SN	SO	SR	ST	SV	SX	SY	SZ	TC	TD	TG	TH	TJ	TK	TL	TM	TN	TO	TR	TT	TV	TW	TZ	UA	UG	US	UY	UZ	VC	VE	VG	VI	VN	VU	WF	WS	XK	YE	YT	ZA	ZM	ZW
3M Co	US	146	223	26	45	80	0,773972603	0,363013699	0,45890411	0,075154813	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Digital	Annual Reporting	Not found	Not found	Not found	Not found	Digital	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Physical	Not found	Annual Reporting	Physical	Digital	Not found	Not found	Not found	Not found	Not found	Physical	Annual Reporting	Not found	Physical	Not found	Digital	Not found	Digital	Digital	Digital	Not found	Not found	Annual Reporting	Not found	Physical	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Digital	Not found	Not found	Not found	Annual Reporting	Digital	Digital	Not found	Physical	Digital	Digital	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Digital	Not found	Annual Reporting	Physical	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Digital	Not found	Digital	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Digital	Annual Reporting	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Physical	Not found	Not found	Not found	Not found	Not found	Digital	Annual Reporting	Physical	Not found	Not found	Not found	Physical	Digital	Annual Reporting	Physical	Not found	Not found	Physical	Digital	Annual Reporting	Not found	Not found	Physical	Not found	Digital	Digital	Digital	Not found	Physical	Digital	Digital	Not found	Physical	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Digital	Not found	Annual Reporting	Not found	Digital	Not found	Annual Reporting	Digital	Not found	Not found	Physical	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found
AIA Group Ltd	HK	69	52	13	17	18	0,913043478	0,333333333	0,52173913	0,081705524	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found
AP Moeller - Maersk A/S	DK	251	106	45	57	58	0,848605578	0,294820717	0,422310757	0,054046761	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Physical	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Physical	Physical	Annual Reporting	Not found	Not found	Not found	Digital	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Physical	Not found	Not found	Annual Reporting	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Physical	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Physical	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found
ASML Holding NV	NL	56	5	17	17	17	0,892857143	0,5	0,642857143	0,128188776	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found
AT&T Inc	US	255	510	4	28	53	0,317647059	0,77254902	0,823529412	0,472787389	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Digital	Not found	Not found	Digital	Not found	Not found	Physical	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Physical	Not found	Physical	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Digital	Not found	Digital	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Physical	Not found	Digital	Not found	Not found	Not found	Not found	Physical	Not found	Physical	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Digital	Not found	Physical	Not found	Not found	Digital	Not found	Physical	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Physical	Not found	Not found	Digital	Digital	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Digital	Digital	Digital	Not found	Not found	Not found	Not found	Not found	Digital	Physical	Not found	Digital	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Digital	Not found	Not found	Not found	Not found	Annual Reporting	Digital	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found
AXA SA	FR	775	398	25	47	55	0,847741935	0,516129032	0,616774194	0,104412903	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Physical	Annual Reporting	Not found	Not found	Not found	Physical	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Annual Reporting	Physical	Not found	Not found	Digital	Physical	Annual Reporting	Not found	Not found	Not found	Not found	Digital	Not found	Annual Reporting	Annual Reporting	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Physical	Not found	Not found	Not found	Not found	Annual Reporting	Physical	Physical	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Digital	Annual Reporting	Physical	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Physical	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Physical	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Physical	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Physical	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found
Abb Ltd	CH	511	99	96	97	98	0,945205479	0,273972603	0,365949119	0,039004906	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Digital	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Physical	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting
AbbVie Inc	US	170	226	60	60	62	0,788235294	0,358823529	0,441176471	0,066989619	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Digital	Not found	Digital	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found
Abbott Laboratories	US	667	350	87	88	91	0,778110945	0,355322339	0,415292354	0,068176556	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Digital	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Digital	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Digital	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Physical	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found
Accenture PLC	IE	547	140	73	75	78	0,961608775	0,288848263	0,382084095	0,045984579	Annual Reporting	Physical	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Physical	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Digital	Not found	Annual Reporting	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found
